ammonia,arsenic,barium,cadmium,copper,fluoride,bacteria,viruses,lead,nitrates,mercury,perchlorate,radium,selenium,uranium,aluminum:Log_aluminum,ammonia:Log_ammonia,arsenic:Log_arsenic,barium:Log_barium,cadmium:Log_cadmium,chloramine:Log_chloramine,chromium:Log_chromium,copper:Log_copper,fluoride:Log_fluoride,bacteria:Log_bacteria,viruses:Log_viruses,lead:Log_lead,nitrates:Log_nitrates,nitrites:Log_nitrites,mercury:Log_mercury,perchlorate:Log_perchlorate,radium:Log_radium,selenium:Log_selenium,silver:Log_silver,uranium:Log_uranium
9.08,0.2,2.85,0.08366600265340755,0.41231056256176607,0.05,0.008000000000000002,0.0,0.054,16.08,0.007,76662818.11621094,6.78,0.08,0.02,0.11070562135361364,20.031153668927875,-0.3218875824868201,2.9848591336995938,-0.20756887390312748,-0.1701999098090724,-0.05831483338162779,-0.3652982611660509,-0.14978661367769955,-0.03862650989841841,0.0,-0.1576136465505646,44.663426321113185,0.1381059249784015,-0.034732915909487766,1391807895.5290601,12.976764751236622,-0.20205829154466046,-0.2508254153265975,-0.07824046010856292
21.16,0.1,3.31,0.044721359549995794,0.812403840463596,0.9,0.274625,0.274625,0.1,2.01,0.003,34939912.678589724,3.21,0.08,0.05,0.19916654326023625,64.58270276391049,-0.23025850929940456,3.9618985068774957,-0.13896286161592725,0.46418469150976494,-0.11294762207566766,-0.16878317122319672,-0.09482446409204366,-0.35491127499567077,-0.35491127499567077,-0.23025850929940456,1.4032507913626782,1.2690136056294126,-0.017427428970942082,606876247.6023451,3.7437297082255774,-0.20205829154466046,-0.28192824439349906,-0.14978661367769955
14.02,0.2,0.58,0.08944271909999159,0.1414213562373095,0.99,0.00012500000000000003,2.7e-08,0.078,14.16,0.006,321348550.3383611,7.07,0.07,0.01,0.001994030477305116,37.01959804012235,-0.3218875824868201,-0.31594176175616984,-0.21592875466608016,0.38569120430712983,-0.1711270100860592,-0.276621799529602,-0.009949832494966436,-0.001123399602582747,-4.705405822154362e-07,-0.19898162327881852,37.529962609840524,0.11583961700990958,-0.030695974858524495,6294587267.769695,13.827933592952963,-0.18614820258529446,-0.20799210208408705,-0.04605170185988091
11.33,0.2,2.96,0.03162277660168379,1.2884098726725126,1.08,0.3579109999999999,0.3579109999999999,0.016,1.41,0.004,63091.98503608317,1.72,0.02,0.05,0.06539752126557873,27.50305467020224,-0.3218875824868201,3.212160234274468,-0.109221201003177,0.587673926368392,-0.3632508383850034,0.32649440126786267,0.08311792442701867,-0.3677431468963486,-0.3677431468963486,-0.0661626649078777,0.4844614831900083,0.3284884617019192,-0.022085843671448984,697314.6390106137,0.9327977802196221,-0.07824046010856292,-0.2038182680897043,-0.14978661367769955
24.33,0.17320508075688773,0.2,0.07745966692414834,0.7549834435270749,0.61,0.002197,1e-09,0.117,6.74,0.003,1378584.9184899994,2.41,0.02,0.02,-0.016400528083204875,77.65430811483284,-0.30367682189200496,-0.3218875824868201,-0.19814166570444489,0.2390443257242677,-0.1092017076409851,-0.2121952382496373,-0.30152075630701586,-0.013447095480818523,-2.072326583694641e-08,-0.2510330172695726,12.860323893989214,0.11583961700990958,-0.017427428970942082,19488459.59516347,2.1199004614811785,-0.07824046010856292,-0.36711466825642475,-0.07824046010856292
14.47,0.17320508075688773,2.88,0.05477225575051661,1.174734012447073,0.11,0.30076300000000006,0.30076300000000006,0.135,9.75,0.006,14806356.16566534,5.42,0.08,0.02,-0.012222881799657258,38.66496201310989,-0.30367682189200496,3.046436047145821,-0.1590899327784004,-0.04268077862227416,-0.2121857796051634,0.18918122066096305,-0.2428002404508693,-0.3613465030873536,-0.3613465030873536,-0.27033486757340053,22.20335602884512,1.2031302069452314,-0.030695974858524495,244461337.23425657,9.160319319747428,-0.20205829154466046,-0.3181035598050743,-0.07824046010856292
5.6,0.1,1.35,0.06324555320336758,1.3711309200802089,0.33,0.002197,3.4300000000000004e-07,0.021,18.6,0.007,191605326.91729963,2.84,0.1,0.08,0.2039080855868013,9.647492947350178,-0.23025850929940456,0.40514119980795654,-0.17460392512048578,0.05187078867875461,-0.1357597685857916,0.4327781261009224,-0.3658586660921317,-0.013447095480818523,-5.105738638694702e-06,-0.081127889666433,54.3708054013763,1.026371788461109,-0.034732915909487766,3654095269.350071,2.9644035081716456,-0.23025850929940456,-0.2954703866268155,-0.20205829154466046
19.87,0.2,0.66,0.03162277660168379,1.3638181696985856,0.86,0.004096000000000001,1.2500000000000002e-07,0.197,13.65,0.001,432187417.4156585,7.24,0.08,0.07,0.3599130153761806,59.39562369392122,-0.3218875824868201,-0.27424019301469943,-0.109221201003177,0.526877430306761,-0.3561721207492444,0.42317674482361806,-0.12970768517174194,-0.02251876102653924,-1.9868690124555142e-06,-0.3200366553980973,35.677544470262724,1.0739215899526993,-0.006907755278982137,8593774469.151712,14.332457534318806,-0.20205829154466046,-0.36271030018740713,-0.18614820258529446
24.58,0.1,0.71,0.07071067811865475,1.2041594578792296,0.98,0.04287499999999999,8e-09,0.167,14.66,0.004,7060922.471351994,4.99,0.08,0.08,-0.09224289395935104,78.7035156997093,-0.23025850929940456,-0.24316811935221094,-0.18732380693822834,0.2876911634718696,-0.07977975215879655,0.22371088534070874,-0.019798653171169075,-0.13503337076364239,-1.4915059436213262e-07,-0.2988901649164188,39.36389873008169,1.1219686517824454,-0.022085843671448984,111351356.4667413,8.021105189719503,-0.20205829154466046,-0.2909468858633444,-0.20205829154466046
16.76,0.1414213562373095,1.37,0.08366600265340755,0.9055385138137416,1.24,0.5717869999999999,0.5717869999999999,0.109,4.79,0.01,26049299.47261313,0.08,0.03,0.01,-0.22370569785418898,47.24635779310399,-0.276621799529602,0.4312907135808461,-0.20756887390312748,0.5381628132571122,-0.18731912716634766,-0.08985248405846324,0.2667381107250124,-0.31962249157613837,-0.31962249157613837,-0.24158840624607628,7.503680670715326,0.5525171961515577,-0.04605170185988091,444804850.50335765,-0.20205829154466046,-0.10519673691959945,-0.2640538053274313,-0.04605170185988091
